Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Labels),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Text-level),Custom field (Time stamp),Custom field (Time stamp),Custom field (Total forms),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
SC25-customer can sort by product increase,NC-99,10407,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:59 PM,03/Jan/23 5:00 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-87,,,,successfully,,,,,,,,,NC-80,,,,can sort by increase,,,,,,0|i002bb:,,NC Sprint 3,,,,,,,,System,,"step 1 : click to fill increase
step 2: can see all of it",,Pass,,,,,,,,To Do
"IP32-customer can sort by ""tồn kho giảm dần""",NC-98,10406,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:58 PM,03/Jan/23 4:58 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,,,,NC-95,,,,successfully,,,,,,,,,NC-80,,,,"can sort by ""tồn kho giảm dần"" product",,,,,,0|i002b3:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill ""tồn kho giảm dần"" product
step 2: can see all of it",,Pass,,,,,,,,To Do
SC24-Customer can see all of link when click to search fields and then can link to it,NC-97,10405,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:58 PM,03/Jan/23 4:59 PM,03/Jan/23 5:04 PM,,,0,Search,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-86,,,,successfully,,,,,,,,,NC-79,,,,can link to it,,,,,,0|i002av:,,NC Sprint 3,,,,,,,,System,,"step 1 : click to ""tìm kiếm sản phẩm"" and dont fill any thing in it
step 2: can see all of links and can click it",,Pass,,,,,,,,To Do
"CA19-If the product has a value above 350000, the result will be displayed",NC-96,10404,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:57 PM,03/Jan/23 4:57 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,,,,,Nếu lọc kết quả sản phẩm có giá trị trên 350000 thì sẽ hiển thị sản phẩm,,,,,,,,,NC-18,,,,Nếu lọc kết quả sản phẩm có giá trị trên 350000 thì sẽ hiển thị sản phẩm,,,,,,0|i002an:,,NC Sprint 1,,,,,,,,Unit,,"Step 1: Truy cập vào đường link để test thử: “https://shop.highlandscoffee.com.vn/collections/all“.

step 2: Bấm lọc sản phẩm và chờ kết quả.
step 3: Sau đó chờ kết quả phản hồi từ hệ thống.",,Pass,,,,,,,,To Do
"IP31-customer can sort by ""bán chạy nhất""",NC-95,10403,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:56 PM,03/Jan/23 4:58 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-98,,,NC-94,,,,successfully,,,,,,,,,NC-80,,,,"can sort by ""bán chạy nhất"" product",,,,,,0|i002af:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill ""bán chạy nhất"" product
step 2: can see all of it",,Pass,,,,,,,,To Do
IP30-customer can sort by newest product,NC-94,10402,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:55 PM,03/Jan/23 4:57 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-95,,,NC-93,,,,successfully,,,,,,,,,NC-80,,,,can sort by newest product,,,,,,0|i002a7:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill newest product
step 2: can see all of it",,Pass,,,,,,,,To Do
IP29-customer can sort by oldest product,NC-93,10401,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:54 PM,03/Jan/23 4:55 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-94,,,NC-91,,,,successfully,,,,,,,,,NC-80,,,,can sort by oldest product,,,,,,0|i0029z:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill oldest product
step 2: can see all of it",,Pass,,,,,,,,To Do
CA18-If the product has a value between 200000 and 350000 else  display,NC-92,10400,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,High,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:54 PM,03/Jan/23 4:54 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,,,,,Nếu có sản phẩm từ 200000 đến 350000 thì sẽ hiển thị kết quả.,,,,,,,,,NC-18,,,,Nếu có sản phẩm từ 200000 đến 350000 thì sẽ hiển thị kết quả.,,,,,,0|i0029r:,,NC Sprint 1,,,,,,,,Unit,,"Step 1: Truy cập vào đường link để test thử: “https://shop.highlandscoffee.com.vn/collections/all“.

step 2: Bấm lọc kết quả.

step 3: Sau đó chờ kết quả phản hồi từ hệ thống.",,Pass,,,,,,,,To Do
IP28-customer can sort by product from Z to A,NC-91,10399,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:53 PM,03/Jan/23 4:54 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-93,,,NC-90,,,,successfully,,,,,,,,,NC-80,,,,can sort by Z to A,,,,,,0|i0029j:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill Z to A
step 2: can see all of it",,Pass,,,,,,,,To Do
IP27-customer can sort by product from A to Z,NC-90,10398,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:53 PM,03/Jan/23 4:53 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-91,,,NC-88,,,,successfully,,,,,,,,,NC-80,,,,can sort by A to Z,,,,,,0|i0029b:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill A to Z
step 2: can see all of it",,Pass,,,,,,,,To Do
